client_id,birth_number,Bith_Date,district_id,Gender
62,321208,01-01-1932,77,Male
63,590604,29-07-1927,4,Female
64,260422,26-04-1945,20,Male
65,435527,12-08-1954,50,Female
66,516110,20-02-1938,1,Male
67,326111,01-02-1939,29,Male
68,461214,15-01-1938,43,Male
70,251222,25-12-1945,70,Female
71,275206,27-04-1933,70,Male
72,230113,23-01-1936,47,Female
73,240220,24-02-1943,22,Male
74,255726,25-09-1953,22,Male
75,775919,16-01-1947,64,Male
76,676001,05-02-1929,36,Male
77,565218,26-05-1945,1,Male
78,445613,13-09-1940,16,Male
79,695310,08-07-1937,37,Female
80,795225,18-06-1952,64,Male
81,760429,15-06-1952,8,Female
82,796225,20-04-1953,8,Male
83,786225,19-04-1953,1,Female
84,790505,18-07-1928,1,Male
85,610827,30-09-1950,1,Female
86,695720,08-11-1947,1,Male
87,466117,15-02-1945,72,Male
89,515505,20-08-1932,1,Male
90,750817,14-10-1940,52,Female
91,400807,09-09-1930,63,Female
92,665612,05-10-1939,74,Male
93,250216,25-02-1939,3,Male
94,470909,17-10-1932,43,Male
95,525803,21-11-1930,43,Male
96,720229,12-04-1952,74,Female
97,651128,04-01-1952,26,Male
98,735504,11-09-1931,33,Male
99,730126,14-03-1949,33,Male
100,425811,11-11-1938,44,Male
101,430123,12-02-1946,68,Male
102,585910,28-12-1937,74,Male
103,550711,24-08-1934,74,Male
105,800526,19-07-1949,31,Female
106,686230,09-04-1958,68,Female
107,720623,11-08-1946,1,Male
108,630913,02-11-1936,17,Female
110,675413,06-08-1940,2,Male
112,350125,04-02-1948,1,Male
113,405815,09-11-1942,1,Female
114,695624,08-10-1951,74,Male
115,691224,07-02-1948,74,Female
116,420128,11-02-1951,74,Female
117,365920,06-12-1947,74,Male
118,220719,22-07-1942,55,Female
119,225228,22-04-1955,55,Male
120,760510,15-07-1933,1,Female
121,786029,16-02-1957,41,Male
122,636113,04-03-1941,35,Male
123,690212,10-04-1935,11,Female
124,670921,06-11-1944,44,Female
125,361031,05-11-1954,37,Male
126,295927,29-11-1954,37,Male
127,506227,22-03-1955,21,Female
128,735404,12-08-1931,63,Male
129,475531,16-08-1958,64,Male
130,420214,14-03-1937,53,Female
131,775131,16-05-1958,53,Male
132,530126,22-02-1949,36,Male
134,320118,01-02-1941,6,Female
135,385910,08-12-1937,6,Male
136,215126,21-03-1953,55,Male
137,230914,23-09-1937,60,Male
138,726021,10-02-1949,54,Male
139,595725,29-10-1952,8,Female
140,610606,31-07-1929,8,Male
141,251102,25-11-1925,31,Male
142,370621,07-07-1944,68,Female
143,780709,16-09-1932,27,Female
144,581206,27-01-1930,65,Male
145,780214,19-04-1937,55,Female
146,616219,02-04-1947,31,Male
147,336102,02-02-1930,21,Male
148,401225,09-01-1949,21,Male
149,480627,18-07-1950,55,Female
150,805927,19-01-1955,2,Female
151,715923,10-01-1951,51,Female
152,456202,17-03-1930,29,Female
153,815212,20-06-1939,13,Female
154,330827,02-09-1950,74,Female
155,395313,08-06-1940,74,Female
156,305722,30-09-1949,54,Male
157,435709,13-10-1936,52,Female
158,455703,15-10-1930,40,Female
159,380910,08-10-1933,40,Male
160,425426,12-07-1953,64,Female
161,436007,12-01-1935,34,Female
162,411017,10-11-1940,65,Male
163,330612,03-07-1935,74,Female
164,625404,01-08-1931,70,Female
165,681108,07-01-1932,22,Male
166,616022,30-01-1950,22,Male
167,785418,17-08-1945,38,Female
168,766105,17-03-1933,24,Female
169,530912,23-10-1935,38,Female
170,465616,15-09-1943,38,Female
171,290625,29-06-1948,51,Male
172,356005,04-01-1933,51,Female
173,186208,18-02-1936,21,Female
174,781110,17-01-1934,10,Female
175,600713,29-08-1936,31,Male
176,290311,29-03-1934,4,Male
178,601222,29-01-1946,8,Male
179,801229,18-02-1953,43,Female
180,820119,23-03-1942,73,Male
181,670706,05-09-1929,76,Male
182,595713,29-10-1940,76,Male
183,785319,17-07-1946,1,Female
184,720605,11-08-1928,1,Male
185,540530,23-06-1953,77,Male
186,615222,31-05-1949,46,Male
187,420823,11-09-1946,58,Female
188,600902,30-10-1925,64,Male
189,190810,19-08-1933,11,Male
190,476031,16-01-1959,37,Female
191,540903,24-10-1926,37,Female
192,710228,12-04-1951,70,Female
193,620501,01-07-1924,1,Male
194,246220,24-02-1948,28,Male
195,191118,19-11-1941,74,Male
196,275625,27-08-1952,74,Male
197,330425,03-05-1948,30,Female
198,760714,14-09-1937,60,Female
199,230621,23-06-1944,29,Female
200,285113,28-03-1940,29,Female
201,305819,30-10-1946,17,Male
202,766121,17-03-1949,29,Female
203,620610,01-08-1933,31,Male
204,675617,06-10-1944,31,Male
205,425615,11-09-1942,4,Male
206,635413,02-08-1940,59,Male
207,320520,01-06-1943,46,Female
208,405625,09-09-1952,13,Female
209,350820,04-09-1943,13,Male
210,391130,09-12-1953,66,Female
211,455628,14-09-1955,66,Female
212,750210,16-04-1933,52,Female
215,670924,06-11-1947,71,Male
216,600130,01-03-1953,1,Male
217,746222,15-04-1950,59,Female
218,805123,19-05-1950,1,Female
219,645402,03-08-1929,60,Female
221,775225,16-06-1952,21,Male
222,725629,11-10-1956,47,Male
223,525227,22-05-1954,43,Female
224,550511,24-06-1934,77,Female
225,360510,05-06-1933,32,Female
226,420616,12-07-1939,1,Female
227,266218,26-02-1946,52,Male
228,565316,25-06-1943,48,Female
229,690722,07-09-1945,76,Male
230,675310,06-07-1937,74,Female
231,410218,13-03-1941,41,Female
232,215617,21-08-1944,55,Male
233,586203,30-03-1931,69,Female
234,550621,25-07-1944,69,Female
235,435828,12-11-1955,44,Male
236,610901,31-10-1924,70,Male
237,695222,08-06-1949,70,Male
238,616128,01-03-1956,6,Male
239,745910,13-01-1938,1,Male
240,295617,29-08-1944,34,Male
241,590123,28-02-1946,70,Male
242,615801,30-11-1928,17,Female
243,540210,26-03-1933,63,Male
246,706228,10-04-1956,67,Male
247,570508,26-06-1931,1,Female
248,696212,09-04-1940,61,Female
249,700505,09-07-1928,61,Female
250,796125,20-03-1953,8,Female
251,765303,15-07-1930,54,Female
252,695901,08-01-1929,37,Male
253,475512,16-08-1939,48,Male
254,630530,02-07-1953,28,Female
255,516011,20-01-1939,27,Male
256,635227,02-06-1954,73,Male
257,426104,11-02-1932,22,Female
258,370531,06-06-1954,22,Male
259,660608,05-08-1931,31,Female
260,625224,01-06-1951,31,Female
261,376207,09-03-1935,38,Female
262,451125,15-12-1948,77,Female
263,620520,01-07-1943,68,Female
264,780822,17-10-1945,28,Male
265,335107,02-04-1934,72,Male
266,675828,06-12-1955,19,Male
267,670612,06-08-1935,37,Female
268,825502,20-09-1929,39,Female
269,236203,23-02-1931,15,Male
270,470308,16-04-1931,46,Male
271,455727,15-10-1954,46,Female
272,446025,13-01-1953,70,Female
273,725515,10-09-1942,27,Female
274,706125,11-03-1953,17,Male
275,186112,18-01-1940,1,Female
276,570611,27-07-1934,1,Male
277,616128,01-03-1956,1,Male
278,726227,13-04-1955,22,Female
279,700516,09-07-1939,22,Male
280,696218,10-04-1946,45,Female
282,385224,08-05-1951,73,Female
283,331104,03-12-1927,73,Male
284,740806,13-10-1929,10,Male
285,540603,24-07-1926,72,Female
286,525418,22-07-1945,72,Female
287,800909,19-11-1932,50,Female
288,620421,01-06-1944,6,Female
289,580327,27-04-1950,54,Female
290,590112,28-02-1935,72,Male
291,555427,25-07-1954,72,Female
292,585906,28-12-1933,15,Female
293,430927,13-10-1950,69,Male
294,680321,07-05-1944,58,Male
295,390327,08-04-1950,12,Male
296,740301,13-05-1924,65,Female
297,245315,24-05-1942,65,Male
298,210613,21-06-1936,65,Female
300,575730,27-10-1957,1,Female
301,420110,11-02-1933,28,Female
302,710223,12-04-1946,56,Female
303,460506,15-06-1929,74,Male
304,345311,03-06-1938,19,Female
305,380608,08-07-1931,46,Female
308,765612,15-10-1939,68,Male
309,696214,10-04-1942,37,Male
310,500416,20-05-1939,11,Male
311,305916,30-11-1943,64,Female
312,240703,24-07-1926,2,Female
313,425511,11-08-1938,24,Male
314,450322,14-04-1945,24,Male
315,670501,06-07-1924,54,Female
316,550428,25-05-1951,75,Male
317,576006,26-01-1934,64,Male
318,435402,13-07-1929,15,Male
319,295404,29-06-1931,19,Male
320,341112,04-12-1935,19,Female
321,436024,12-01-1952,47,Male
322,330201,04-03-1924,38,Female
323,385404,08-07-1931,38,Female
324,601203,29-01-1927,3,Male
325,600221,31-03-1944,3,Female
326,675918,06-01-1946,27,Female
327,681013,07-12-1936,27,Male
328,185124,18-03-1951,1,Male
329,641203,02-02-1927,11,Male
330,445805,13-11-1932,65,Female
331,420302,11-04-1925,1,Male
332,780725,16-09-1948,29,Female
333,711019,10-12-1942,38,Male
334,691031,08-12-1954,32,Female
335,675722,06-11-1949,73,Female
336,645211,03-06-1938,39,Female
337,570508,26-06-1931,39,Female
338,515619,20-09-1946,8,Male
339,660730,04-09-1953,1,Female
340,705819,09-12-1946,1,Male
341,770316,16-05-1939,69,Male
342,725630,11-10-1957,69,Female
343,191119,19-11-1942,44,Female
344,635716,02-11-1943,54,Female
345,531207,22-01-1931,17,Male
346,606102,01-03-1930,17,Female
347,591213,28-01-1937,71,Male
348,535124,22-04-1951,71,Female
349,275527,27-07-1954,39,Female
350,255402,25-06-1929,25,Male
351,730501,12-07-1924,1,Female
352,400827,09-09-1950,56,Male
353,651026,04-12-1949,7,Female
354,225427,22-06-1954,49,Male
355,300531,30-05-1954,49,Female
356,796207,20-04-1935,1,Female
357,790330,18-05-1953,1,Male
358,595626,28-09-1953,7,Female
359,700216,11-04-1939,66,Female
360,430427,13-05-1950,49,Female
361,775525,15-09-1952,74,Female
362,505427,20-07-1954,35,Male
363,420701,11-08-1924,35,Female
364,426205,14-03-1933,54,Male
365,300109,30-01-1932,1,Female
366,366110,05-02-1938,1,Female
367,635903,02-01-1931,60,Male
368,681014,07-12-1937,60,Female
369,306106,30-01-1934,7,Male
370,565105,25-04-1932,71,Female
371,420716,11-08-1939,4,Female
372,320403,02-05-1926,34,Male
373,360228,08-03-1951,16,Male
374,670614,06-08-1937,26,Male
375,695929,08-01-1957,61,Female
376,735108,12-05-1935,14,Female
378,780515,17-07-1938,50,Female
379,836013,21-02-1941,50,Female
380,730119,14-03-1942,41,Female
381,775126,16-05-1953,73,Male
382,780630,17-08-1953,73,Female
383,395517,08-08-1944,15,Female
384,351008,04-11-1931,15,Male
385,480324,17-04-1947,45,Female
386,800821,19-10-1944,62,Female
387,270606,27-06-1929,76,Male
388,506030,19-01-1958,36,Female
389,745630,13-10-1957,47,Female
390,775127,16-05-1954,47,Female
391,335522,02-08-1949,47,Female
392,505401,20-07-1928,74,Male
393,560831,25-09-1954,74,Female
394,245518,24-07-1945,52,Female
395,190705,19-07-1928,52,Female
396,200502,20-05-1925,1,Female
397,300327,30-03-1950,75,Female
398,255326,25-05-1953,61,Female
399,520414,22-05-1937,45,Male
400,331227,02-01-1951,1,Female
401,286119,28-01-1947,1,Male
402,431225,12-01-1949,3,Female
403,735526,11-09-1953,42,Male
404,670420,06-06-1943,42,Male
405,346019,03-01-1947,65,Female
406,770515,16-07-1938,36,Male
407,755527,13-09-1954,73,Female
408,785222,17-06-1949,35,Female
409,250618,25-06-1941,74,Female
410,621220,31-01-1944,62,Female
411,415414,11-07-1941,17,Female
412,440417,14-05-1940,17,Male
413,726118,13-03-1946,49,Female
414,476019,16-01-1947,46,Male
415,450401,15-05-1924,46,Female
416,326007,01-01-1935,1,Male
417,300610,30-06-1933,1,Male
418,661013,05-12-1936,28,Male
419,706007,08-02-1935,64,Male
420,780313,17-05-1936,18,Male
421,650731,03-09-1954,54,Female
422,461207,15-01-1931,69,Female
423,570623,27-07-1946,37,Female
424,471008,16-11-1931,1,Male
425,480212,20-03-1935,25,Male
426,370601,07-07-1924,72,Male
427,415914,11-12-1941,72,Male
428,196116,19-01-1944,47,Female
429,815120,20-05-1947,50,Male
430,200728,20-07-1951,39,Male
431,276001,27-12-1928,24,Male
432,525326,21-06-1953,59,Male
433,550207,27-03-1930,62,Female
434,435130,12-04-1957,70,Female
435,671023,06-12-1946,20,Female
436,550615,25-07-1938,2,Female
437,205117,20-03-1944,11,Male
438,380928,08-10-1951,32,Male
439,685912,07-01-1940,51,Male
440,705707,09-11-1934,15,Female
441,590914,29-10-1937,1,Male
442,716216,11-04-1944,1,Male
443,711220,09-02-1944,1,Male
444,605801,29-11-1928,74,Male
445,475427,17-07-1954,1,Female
446,520319,21-04-1942,1,Female
447,460904,16-10-1927,23,Male
448,705815,09-12-1942,77,Female
450,531127,23-12-1950,25,Female
451,790414,18-06-1937,12,Female
452,536022,22-01-1950,55,Male
453,690716,07-09-1939,67,Male
454,495615,18-09-1942,38,Female
455,200726,20-07-1949,68,Male
456,400228,12-03-1951,25,Male
457,500926,20-10-1949,70,Male
458,610724,30-08-1947,68,Male
459,675723,06-11-1950,32,Male
461,705813,09-12-1940,68,Female
462,701221,08-02-1945,14,Female
463,440405,14-05-1928,38,Female
464,595730,29-10-1957,24,Female
465,520901,22-10-1924,5,Female
466,476119,16-02-1947,1,Female
467,500417,20-05-1940,1,Male
468,590427,29-05-1950,72,Female
469,706013,08-02-1941,59,Male
470,545421,24-07-1948,30,Female
471,770111,18-03-1934,44,Female
472,811227,19-02-1951,36,Female
473,395925,09-12-1952,1,Male
474,490531,18-06-1954,46,Male
476,475601,16-09-1928,1,Male
477,540720,23-08-1943,1,Male
478,780621,17-08-1944,21,Male
479,470820,16-09-1943,11,Male
480,465124,15-04-1951,11,Male
481,270122,27-01-1945,69,Female
482,345122,03-04-1949,69,Male
483,440619,14-07-1942,1,Female
484,595913,29-12-1940,28,Female
485,780516,17-07-1939,32,Male
486,440412,14-05-1935,68,Female
487,225401,22-06-1928,1,Male
488,170802,17-08-1925,1,Male
489,401007,09-11-1930,41,Male
490,501023,19-11-1946,55,Male
491,660805,05-10-1928,63,Female
492,351026,04-11-1949,72,Female
493,425604,11-09-1931,41,Male
494,800519,19-07-1942,1,Male
495,375407,07-07-1934,49,Male
496,515521,20-08-1948,70,Male
497,530202,25-03-1925,74,Female
498,485115,17-04-1942,74,Female
499,355708,05-10-1935,18,Female
500,710106,12-03-1929,1,Female
501,371028,06-11-1951,62,Female
502,191208,19-12-1931,6,Female
503,590724,28-08-1947,73,Male
504,790801,18-10-1924,36,Female
505,771221,15-02-1945,13,Male
506,460816,15-09-1939,75,Male
507,541116,24-12-1939,75,Male
508,710428,10-06-1951,53,Male
509,800502,19-07-1925,73,Female
510,760415,15-06-1938,12,Female
511,590218,31-03-1941,9,Female
512,655803,04-12-1930,60,Female
513,745111,13-05-1938,8,Male
514,681115,07-01-1939,8,Female
515,320526,01-06-1949,1,Female
516,305427,30-06-1954,1,Male
517,650725,03-09-1948,63,Male
518,795428,18-08-1955,54,Male
519,800413,19-06-1936,18,Female
520,475927,17-12-1954,46,Male
521,751225,13-02-1949,69,Female
522,565304,25-06-1931,1,Male
523,221217,22-12-1940,38,Male
524,635102,02-05-1929,30,Male
525,690814,08-10-1937,30,Female
526,640201,04-04-1924,43,Male
527,665818,05-12-1945,43,Female
528,770211,18-04-1934,37,Male
529,781105,17-01-1929,69,Female
530,575927,27-12-1954,29,Male
531,761004,15-12-1927,27,Male
532,805903,19-01-1931,27,Female
533,415519,10-08-1946,54,Female
534,570722,26-08-1945,74,Male
535,370909,07-10-1932,26,Male
536,390825,08-09-1948,47,Female
537,350116,04-02-1939,1,Female
538,485510,17-08-1937,5,Female
540,210728,21-07-1951,19,Female
541,275309,27-05-1936,19,Male
542,215209,21-04-1936,59,Male
543,585415,28-07-1942,11,Female
544,481116,18-12-1939,63,Male
545,736011,11-02-1939,75,Male
546,530825,22-09-1948,7,Female
547,490331,18-04-1954,54,Female
548,371204,06-01-1928,49,Male
550,611130,31-12-1953,7,Female
551,765705,15-11-1932,47,Female
552,345508,03-08-1935,1,Male
553,410407,11-05-1930,1,Male
554,255419,25-06-1946,30,Female
555,261021,26-10-1944,30,Male
556,460708,15-08-1931,29,Female
557,390717,08-08-1940,51,Male
558,205705,20-09-1932,43,Female
559,725905,11-01-1933,32,Male
560,676216,07-04-1944,71,Male
561,626110,03-03-1938,74,Female
562,755922,14-01-1950,49,Male
563,615909,31-12-1936,72,Male
564,550124,24-02-1947,72,Female
565,595703,29-10-1930,64,Female
566,465305,15-06-1932,47,Male
567,500502,19-06-1925,47,Female
568,605719,30-10-1946,8,Male
569,620615,01-08-1938,73,Male
570,415131,10-04-1958,61,Male
571,240927,24-09-1950,3,Female
572,205804,20-10-1931,3,Female
573,670810,06-10-1933,69,Male
574,721225,10-02-1949,1,Male
575,700404,09-06-1927,58,Female
576,745512,12-09-1939,58,Female
577,636205,04-04-1933,1,Female
578,775707,16-11-1934,23,Male
579,335531,02-08-1958,72,Male
581,495204,19-05-1931,70,Female
582,500926,20-10-1949,1,Male
583,655101,04-05-1928,75,Female
584,765513,14-09-1940,33,Female
585,425221,12-05-1948,40,Male
586,471103,17-12-1926,40,Female
587,455708,15-10-1935,25,Female
588,606020,29-01-1948,61,Male
589,610917,31-10-1940,45,Male
590,490215,21-03-1938,44,Female
591,746029,12-02-1957,65,Male
592,650718,03-09-1941,26,Female
593,545710,24-10-1937,60,Female
596,481024,17-11-1947,69,Female
597,430222,15-03-1945,55,Male
598,701231,08-02-1955,1,Female
599,775518,15-09-1945,1,Male
601,660312,05-05-1935,56,Male
602,655116,04-05-1943,56,Female
603,665309,05-07-1936,13,Female
604,655731,04-11-1958,1,Male
605,705827,09-12-1954,1,Male
606,495125,18-04-1952,10,Female
607,640330,03-05-1953,64,Female
608,720831,11-10-1954,67,Female
609,620902,01-11-1925,52,Male
610,795810,18-12-1937,74,Male
611,521013,21-11-1936,36,Male
612,606110,01-03-1938,36,Female
613,775810,16-12-1937,1,Male
614,475203,17-05-1930,14,Male
615,495913,19-12-1940,68,Female
616,750101,15-03-1924,58,Male
617,740314,13-05-1937,70,Female
618,325316,01-06-1943,57,Female
619,200907,20-09-1930,6,Male
620,185213,18-04-1940,6,Male
621,390317,08-04-1940,54,Male
622,316123,31-01-1951,74,Male
623,250904,25-09-1927,24,Female
624,325726,02-10-1953,24,Female
625,786124,18-03-1952,60,Male
626,800413,19-06-1936,9,Female
627,720411,11-06-1934,17,Male
628,705527,08-09-1954,17,Male
629,760310,15-05-1933,16,Male
630,520303,21-04-1926,61,Female
631,565322,25-06-1949,70,Female
632,460316,15-04-1939,67,Female
633,385612,07-09-1939,67,Male
635,275629,27-08-1956,17,Female
636,350217,06-03-1940,17,Female
637,706215,11-04-1943,39,Male
638,615203,31-05-1930,54,Male
639,780802,17-10-1925,31,Female
640,790415,18-06-1938,26,Male
641,625704,01-11-1931,40,Female
642,631025,02-12-1948,40,Male
643,495613,18-09-1940,1,Female
644,615423,31-07-1950,35,Male
645,251221,25-12-1944,14,Male
646,225929,22-11-1956,34,Male
647,290406,29-04-1929,34,Female
648,355928,05-12-1955,70,Female
649,785502,16-09-1929,13,Female
651,765127,15-05-1954,54,Male
652,381208,07-01-1932,61,Male
653,306121,30-01-1949,1,Female
654,425517,11-08-1944,64,Male
655,421210,11-01-1934,32,Female
656,560606,26-07-1929,1,Female
657,265710,26-09-1937,8,Female
658,261221,26-12-1944,8,Female
659,651207,03-02-1931,24,Male
660,230322,23-03-1945,16,Male
661,195115,19-03-1942,16,Male
662,450807,14-09-1930,5,Male
663,230120,23-01-1943,24,Male
664,805319,19-07-1946,77,Female
665,325405,02-07-1932,62,Female
666,820523,21-07-1946,26,Female
667,815720,20-11-1947,26,Male
668,426225,14-03-1953,1,Female
669,566219,28-03-1947,12,Female
670,590121,28-02-1944,1,Female
671,715227,10-06-1954,10,Male
672,296109,29-01-1937,46,Female
673,391029,08-11-1952,36,Female
674,275111,27-03-1938,11,Female
675,751112,14-01-1936,50,Male
676,530207,25-03-1930,70,Female
677,630524,02-07-1947,5,Female
678,335528,02-08-1955,39,Male
679,400319,09-04-1942,8,Female
680,405509,09-08-1936,8,Male
681,770115,18-03-1938,15,Male
682,791021,18-12-1944,18,Female
683,455829,14-11-1956,76,Male
684,765410,15-08-1937,3,Female
685,306213,02-03-1941,72,Male
686,716003,09-02-1931,32,Male
687,750128,16-03-1951,32,Male
688,540504,23-06-1927,1,Female
689,640802,03-10-1925,70,Female
690,421107,12-12-1930,38,Female
691,445113,13-04-1940,38,Female
692,365111,05-04-1938,74,Male
693,350317,04-04-1940,74,Male
694,360228,08-03-1951,29,Male
695,550627,25-07-1950,28,Male
696,526201,24-03-1929,28,Female
697,740501,13-07-1924,1,Male
698,540227,26-03-1950,75,Female
699,225422,22-06-1949,26,Male
700,291120,29-11-1943,12,Male
702,686107,09-03-1935,31,Female
703,590426,29-05-1949,4,Male
704,750501,14-07-1924,54,Female
705,381210,07-01-1934,19,Female
706,480805,17-09-1928,1,Female
707,411214,10-01-1938,1,Female
708,776127,18-03-1955,50,Female
709,341229,03-01-1953,1,Female
710,251128,25-11-1951,23,Male
711,635816,02-12-1943,48,Female
712,621204,31-01-1928,54,Female
713,805329,19-07-1956,20,Male
714,701008,09-12-1931,31,Female
715,525115,21-04-1942,1,Female
716,546204,25-03-1932,1,Male
717,680502,07-07-1925,54,Female
718,605228,30-05-1955,54,Male
719,740809,13-10-1932,46,Male
720,540906,24-10-1929,29,Female
721,400215,12-03-1938,43,Male
722,706125,11-03-1953,62,Male
723,575726,27-10-1953,12,Male
724,535202,23-05-1929,65,Female
725,561211,25-01-1935,75,Male
726,350213,06-03-1936,16,Male
727,305720,30-09-1947,32,Female
728,320120,01-02-1943,32,Female
729,695317,08-07-1944,63,Male
730,730814,12-10-1937,63,Female
731,795122,18-05-1949,74,Female
732,780705,16-09-1928,74,Male
733,780728,16-09-1951,46,Male
734,855114,24-05-1941,46,Female
735,731126,12-01-1950,1,Male
736,775426,16-08-1953,1,Male
737,521104,22-12-1927,74,Female
738,200326,20-03-1949,25,Male
739,420416,12-05-1939,72,Male
740,231107,23-11-1930,55,Male
741,410709,10-08-1932,74,Male
742,516015,20-01-1943,1,Female
743,410217,12-03-1940,1,Female
744,400718,09-08-1941,26,Male
745,665214,05-06-1941,52,Female
746,620416,01-06-1939,52,Male
747,535820,22-11-1947,24,Male
748,361015,05-11-1938,25,Male
749,335729,03-10-1956,25,Male
750,565929,26-12-1956,70,Male
751,590309,28-04-1932,70,Male
752,441220,13-01-1944,72,Female
753,405924,10-12-1951,72,Female
754,475604,16-09-1931,63,Female
755,471121,17-12-1944,72,Male
756,200513,20-05-1936,31,Female
757,706220,10-04-1948,71,Male
758,615726,31-10-1953,68,Male
759,550520,24-06-1943,29,Male
760,365825,05-11-1952,57,Male
762,370420,07-05-1943,21,Male
763,275824,27-10-1951,75,Female
764,556013,24-01-1941,49,Female
765,691231,07-02-1955,65,Male
766,265703,26-09-1930,1,Male
767,230616,23-06-1939,1,Male
768,315923,01-12-1950,32,Female
769,771215,15-02-1939,40,Male
772,441210,13-01-1934,64,Female
773,351030,04-11-1953,4,Male
774,730303,12-05-1926,70,Male
775,406130,09-02-1958,51,Male
776,535503,22-08-1930,1,Female
777,610520,30-06-1943,1,Male
778,400604,10-07-1927,13,Male
779,445612,13-09-1939,69,Male
780,240226,24-02-1949,3,Male
781,450920,15-10-1943,72,Female
782,635318,02-07-1945,5,Female
783,715325,10-07-1952,27,Male
784,641228,02-02-1952,27,Female
785,340909,04-10-1932,63,Female
786,780906,17-11-1929,53,Female
787,471208,16-01-1932,3,Female
788,740903,13-11-1926,47,Female
789,310921,01-10-1944,4,Female
790,675509,05-09-1936,63,Female
791,505929,20-12-1956,68,Male
793,780204,19-04-1927,21,Male
794,795716,18-11-1943,21,Female
796,190830,19-08-1953,1,Female
797,480127,17-02-1950,8,Male
798,405212,10-05-1939,27,Male
799,360219,08-03-1942,27,Female
803,510215,23-03-1938,35,Female
804,565123,25-04-1950,35,Female
806,800422,19-06-1945,60,Male
807,696021,07-02-1949,53,Female
808,631128,02-01-1952,31,Male
809,191015,19-10-1938,49,Female
810,455924,15-12-1951,58,Male
811,400528,09-06-1951,58,Female
812,401206,09-01-1930,39,Male
813,640129,04-03-1952,70,Male
814,591001,28-11-1924,19,Male
815,646027,02-02-1955,22,Female
816,585201,28-05-1928,17,Female
818,660427,05-06-1950,54,Male
819,580708,27-08-1931,74,Female
820,606106,01-03-1934,74,Male
821,480512,17-06-1935,49,Female
822,595508,28-08-1935,37,Female
823,561024,25-11-1947,41,Female
824,520905,22-10-1928,27,Male
825,770402,16-06-1925,74,Male
826,780123,19-03-1946,1,Female
827,655904,04-01-1932,10,Female
828,581210,27-01-1934,10,Female
829,570519,26-06-1942,24,Female
830,480827,17-09-1950,69,Male
831,480502,17-06-1925,2,Female
832,236223,23-02-1951,67,Female
833,600611,30-07-1934,5,Female
834,221217,22-12-1940,54,Male
835,436020,12-01-1948,28,Female
836,480614,18-07-1937,28,Female
837,741014,13-12-1937,71,Female
838,685204,07-06-1931,71,Male
839,555518,24-08-1945,47,Male
840,370426,07-05-1949,20,Male
841,810210,22-04-1933,69,Female
842,335703,03-10-1930,12,Female
843,575903,27-12-1930,54,Male
844,450114,14-02-1937,22,Female
845,535130,22-04-1957,22,Female
846,491201,18-01-1925,35,Female
847,791225,17-02-1949,49,Female
849,395606,08-09-1933,26,Male
850,690921,08-11-1944,19,Female
851,190616,19-06-1939,25,Male
852,165604,16-08-1931,25,Male
853,490602,19-07-1925,70,Female
854,416102,10-02-1930,72,Male
855,300128,30-01-1951,58,Female
856,190122,19-01-1945,23,Female
857,480221,19-03-1944,32,Female
858,595329,28-06-1956,47,Female
859,685729,07-11-1956,1,Female
860,671208,05-02-1932,1,Female
861,565913,26-12-1940,1,Male
862,520105,21-02-1928,30,Male
863,686129,09-03-1957,54,Female
